Title,Author
The Wolf Leader,Alexandre Dumas
The Rape of the Lock,Alexander Pope
Eugénie Grandet,Honore de Balzac
Emmeline,Charlotte Turner Smith
The Golden Bowl,Henry James
The Mysteries of Udolpho,Ann Radcliffe
Life in the Iron Mills,Rebecca Harding Davis
Book of Genesis,Anonymous
Jerusalem Delivered,Torquato Tasso
A Tangled Tale,Lewis Carroll
Eminent Victorians,Lytton Strachey
The Feast at Solhaug,Henrik Ibsen
Little Eyolf,Henrik Ibsen
Fanny's First Play,George Bernard Shaw
In the Reign of Terror: The Adventures of a Westminster Boy,G. A. Henty
La Fausse Maîtresse,Honore de Balzac
Cripps the Carrier,R. D. (Richard Doddridge) Blackmore
Amelia (novel),Henry Fielding
Adam Bede,George Eliot
Mary Anerley,R. D. Blackmore
Gadsby (novel),Ernest Vincent Wright
Baital Pachisi,"Richard F. Burton, F.R.G.S."
The Half-Hearted,John Buchan
A Strange Manuscript Found in a Copper Cylinder,James De Mille
Box and Cox,John Maddison Morton
The World's Sixteen Crucified Saviors,Kersey Graves
The Little French Lawyer,Francis Beaumont
Storm Over Warlock,Andre Norton
Botchan,Kin-nosuke Natsume
A Martian Odyssey,Stanley Grauman Weinbaum
The Fortunes of Nigel,Sir Walter Scott
The Fall of the House of Usher,Edgar Allan Poe
Aucassin and Nicolette,Anonymous
Tarzan the Untamed,Edgar Rice Burroughs
Agnes Grey,Anne Bronte
The Beautiful and Damned,F. Scott Fitzgerald
Bartholomew Fair (play),Ben Jonson
Under the Greenwood Tree,Thomas Hardy
"Houston, Houston, Do You Read?",Boyd Ellanby
Hunger (Hamsun novel),Knut Hamsun
An Eye for an Eye (novel),Anthony Trollope
"Someone Comes to Town, Someone Leaves Town",Cory Doctorow
Elsie Venner,"Oliver Wendell Holmes, Sr."
Lavender and Old Lace,Myrtle Reed
Sarrasine,Honore de Balzac
The Mystery of the Yellow Room,Gaston Leroux
Salammbô,Gustave Flaubert
The Fixed Period,Anthony Trollope
Phineas Finn,Anthony Trollope
Tom Grogan,F. Hopkinson Smith
Eve's Diary,Mark Twain (Samuel Clemens)
Phantastes,George MacDonald
Home of the Gentry,Ivan Turgenev
The Marrow of Tradition,Charles W. Chesnutt
Her Benny (novel),Silas Kitto Hocking
The Hollow Needle,Maurice Leblanc
The Awakening (Chopin novel),Kate Chopin
A Princess of Mars,Edgar Rice Burroughs
The Gods of Mars,Edgar Rice Burroughs
The Aspern Papers,Henry James
The Mystery of Cloomber,Arthur Conan Doyle
To Have and to Hold,Mary Johnston
The Tangled Skein,"Emmuska Orczy, Baroness Orczy"
Augusta Triumphans,Daniel Defoe
The Princess and Curdie,George MacDonald
Psmith in the City,P. G. Wodehouse
The Faerie Queene,Edmund Spenser
Free Air,Sinclair Lewis
The Europeans,Henry James
The Eustace Diamonds,Anthony Trollope
With Kitchener in the Soudan,G. A. Henty
The Nest of the Sparrowhawk,Baroness Orczy
Doomsday Book (novel),Edgar Lee Masters
The Tale of Samuel Whiskers or The Roly-Poly Pudding,Beatrix Potter
The Assembly of Gods,Anonymous
The Belle's Stratagem,Hannah Cowley
Tom Thumb,Anonymous
Martin Eden,Jack London
The Trail of the Lonesome Pine (novel),"John Fox, Jr."
Doctor Thorne,Anthony Trollope
Moon-Face,Jack London
Emma (novel),Jane Austen
The Professor (novel),(AKA Charlotte Bronte) Currer Bell
The Adventures of Roderick Random,Tobias Smollett
"Epicœne, or The Silent Woman",Ben Jonson
Gambara (short story),Honore de Balzac
Pudd'nhead Wilson,Mark Twain (Samuel Clemens)
The Tunnel under the World,Frederik Pohl
The Philanderer,George Bernard Shaw
The Sea Hawk,Raphael Sabatini
The Prairie,J. Fenimore Cooper
The Man Who Would Be King,Rudyard Kipling
The Sorrows of Young Werther,J.W. von Goethe
Little Brother (Doctorow novel),Cory Doctorow
The Ice-Maiden,Hans Christian Andersen
Lilith (novel),George MacDonald
The Adventure of the Cardboard Box,Arthur Conan Doyle
The Master Key (novel),L. Frank Baum
Memoirs of My Life and Writings,Edward Gibbon
Robinson Crusoe,Daniel Defoe
The Ghost (Harris novel),William. D. O'Connor
Sartor Resartus,Thomas Carlyle
The Yellow Wallpaper,Charlotte Perkins Gilman
The Head of the House of Coombe,Frances Hodgson Burnett
Democracy and Education,John Dewey
Hermann and Dorothea,Johann Wolfgang von Goethe
Confessions of a Young Man,George Moore
An Old-Fashioned Girl,Louisa May Alcott
"Where Love Is, God Is",Lyof N. Tolstoi
Breaking Point (novel),Mary Roberts Rinehart
Amy Foster,Joseph Conrad
Seven Little Australians,Ethel Sybil Turner
Jennie Gerhardt,Theodore Dreiser
The False One,Francis Beaumont and John Fletcher
The Secret Agent,Joseph Conrad
Lord Tony's Wife,Baroness Emmuska Orczy
The Little White Bird,J. M. Barrie
Pollyanna,Eleanor H. Porter
The Song of Roland,Anonymous
The Odd Women,George Gissing
Percival Keene,Frederick Marryat
The History of Mr Polly,H. G. Wells
Auriol (novel),W. Harrison Ainsworth
À rebours,Joris-Karl Huysmans
The Captain's Daughter,Alexksandr Sergeevich Pushkin
Poor Miss Finch,Wilkie Collins
Beowulf,Unknown
The Chessmen of Mars,Edgar Rice Burroughs
The Mystery of the Sea,Bram Stoker
The Crime of the Congo,Sir Arthur Conan Doyle
The Lady of the Shroud,Bram Stoker
Old Friends and New Fancies,Sybil G. Brinton
Knock (short story),Thomas Bailey Aldrich
Dariel,R. D. Blackmore
The Twinkle Tales,L. Frank (Lyman Frank) Baum
Framley Parsonage,Anthony Trollope
The Rime of the Ancient Mariner,Samuel Taylor Coleridge
Mauprat,George Sand
Sense and Sensibility,Jane Austen
The Masque of the Red Death,Edgar Allan Poe
Fair Em,William Shakespeare (Apocrypha)
Whispers (novel),Paul Cameron Brown
The Small House at Allington,Anthony Trollope
The Virginian (novel),Owen Wister
The History of Sir Charles Grandison,Samuel Richardson
The Voyages of Doctor Dolittle,Hugh Lofting
My Brilliant Career,Miles Franklin
Moonfleet,J. Meade Falkner
Dracula's Guest and Other Weird Stories,Bram Stoker
The Story of Ferdinand,Arthur Scott Bailey
Armadale (novel),Wilkie Collins
Regiment of Women,Clemence Dane
Where Angels Fear to Tread,E. M. Forster
Dead Souls,Nikolai Vasilievich Gogol
The First Men in the Moon,H. G. Wells
She Stoops to Conquer,Oliver Goldsmith
Alcestis (play),Euripides
Can You Forgive Her?,Anthony Trollope
The Island Queen (novel),R.M. Ballantyne
The Expedition of Humphry Clinker,Tobias Smollett
Poor Folk,Fyodor Dostoyevsky
The Canterville Ghost,Oscar Wilde
The Four Horsemen of the Apocalypse (novel),Vicente Blasco Ibanez
The People That Time Forgot (novel),Edgar Rice Burroughs
Madame Bovary,Gustave Flaubert
Eugene Onegin,Aleksandr Sergeevich Pushkin
The Story of the Amulet,E. Nesbit
Madame de Mauves,Henry James
Book of Ruth,Anonymous
The Noble Spanish Soldier,Thomas Dekker
Lovers' Vows,Mrs. Inchbald
Democracy in America,Alexis de Toqueville
Down and Out in the Magic Kingdom,Cory Doctorow
"The Life and Opinions of Tristram Shandy, Gentleman",Laurence Sterne
The Monastery,Sir Walter Scott
The Man Who Was Thursday,G. K. Chesterton
The Tin Woodman of Oz,L. Frank  Baum
Maya the Bee,Waldemar Bonsels
David and the Phoenix,Edward Ormondroyd
When William Came,Saki
A Dog of Flanders,"Louisa de la Ramê, AKA Óuida"
Prester John (novel),John Buchan
Alice Lorraine,Richard Doddridge Blackmore
Major Barbara,George Bernard Shaw
Manon Lescaut,Abbé Prévost
The Black Cat (short story),Émile Gigault de La Bédollière
The Nether World,George Gissing
The Abbot,Sir Walter Scott
Cousin Bette,Honore de Balzac
Hippolytus (play),Euripides
King Coal,Upton Sinclair
The Jamesons,Mary E. Wilkins Freeman
Confessions (Augustine),Saint Augustine
A Pail of Air,Fritz Leiber
The Big Time,Fritz Reuter Leiber
Josephus's Discourse to the Greeks concerning Hades,Flavius Josephus
Picture and Text,Henry James
First Lensman,Edward Elmer Smith
Night of the Living Dead,George A. Romero
Un début dans la vie,Honore de Balzac
The Morgesons,Elizabeth Stoddard
The Ships of Earth,Eva March Tappan
Modeste Mignon,Honore de Balzac
The Bread-Winners,John Hay
The Helpers,Francis Lynde
The Tale of Benjamin Bunny,Beatrix Potter
The Tale of Mr. Tod,Beatrix Potter
Tartuffe,Jean-Baptiste Poquelin Moliere
The Oakdale Affair,Edgar Rice Burroughs
Cligès,Chretien de Troyes
The Secret Sharer,Joseph Conrad
Tam o' Shanter (poem),Robert Burns
King Solomon's Mines,H. Rider Haggard
The Commonwealth of Oceana,James Harrington
Little Fuzzy,Henry Beam Piper
Amphitryon (play),Plautus Titus Maccius
Hayy ibn Yaqdhan,Ibn Tufail
A Kidnapped Santa Claus,L. Frank Baum
The Patchwork Girl of Oz,L. Frank Baum
The Admirable Crichton,J. M. Barrie
The Lair of the White Worm,Bram Stoker
Silas Marner,George Eliot
Copyright Act of 1976,Library of Congress.  Copyright Office.
Deirdre of the Sorrows,J. M. Synge
Getting Married,George Bernard Shaw
Apocolocyntosis,Lucius Seneca
Aunt Jane's Nieces Abroad,Edith Van Dyne
The Altar of the Dead,Henry James
Something Fresh,P. G. Wodehouse
Ramona,Helen Hunt Jackson
The Man of Feeling,Henry Mackenzie
Atala (novella),François Auguste de Chateaubriand
The Getting of Wisdom,Henry Handel Richardson
Ninety-Three,Victor Hugo
The Queen of Spades (story),Alexander Sergeievitch Poushkin
The Turn of the Screw,Henry James
The Discovery of the Future,H. G. (Herbert George) Wells
The Celebrity,Winston Churchill
The Valley of Fear,Sir Arthur Conan Doyle
The Gorilla Hunters,R.M. Ballantyne
Alexander's Bridge,Willa Cather and Alfred Noyes
The Emerald City of Oz,L. Frank Baum
"Maria: or, The Wrongs of Woman",Mary Wollstonecraft
The Rise of Silas Lapham,William Dean Howells
The Prince,Nicolo Machiavelli
Jude the Obscure,Thomas Hardy
The Prince of Parthia,Thomas Godfrey
The Hunchback of Notre-Dame,Victor Hugo
Honorine (novel),Honore de Balzac
2 B R 0 2 B,Kurt Vonnegut
The Education of Henry Adams,Henry Adams
Dr. Breen's Practice,William Dean Howells
Colonel Jack,Daniel Defoe
"Faust, Part One", Johann Wolfgang Von Goethe
A Small Boy and Others,Henry James
The Road to Oz,L. Frank Baum
The Life and Adventures of Santa Claus,L. Frank Baum
A Plague of Pythons,Frederik Pohl
The Dark Frigate,Charles Boardman Hawes
The Paying Guest,George Gissing
Understood Betsy,Dorothy Canfield
Perpetual Peace: A Philosophical Sketch,Immanuel Kant
Father Sergius,Leo Tolstoy
Abraham Lincoln's first inaugural address,Abraham Lincoln
Etidorhpa,John Uri Lloyd
"Dido, Queen of Carthage (play)",Christopher Marlowe
Philaster (play),Francis Beaumont and John Fletcher
Anna Karenina,Leo Tolstoy
The Cruise of the Dazzler,Jack London
The Sacred Fount,Henry James
One of Ours,Willa Cather
The Enchanted Island of Yew,L. Frank Baum
Man Overboard (book),F(rancis) Marion Crawford
The Book of Khalid,Ameen Rihani
The Runaway Skyscraper,Murray Leinster
A Dark Night's Work,Elizabeth Gaskell
Tom Swift and His Submarine Boat,Victor Appleton
Kazan (novel),James Oliver Curwood
The Swoop!,P. G. Wodehouse
Callista (novel),John Henry Cardinal Newman
An Occurrence at Owl Creek Bridge,Ambrose Bierce
Cavalleria rusticana,Pietro Mascagni
New Grub Street,George Gissing
Rhesus (play),Euripedes
Star Born,Andre Norton
"Dick Sand, A Captain at Fifteen",Jules Verne
Rachel Ray (novel),Anthony Trollope
Saint Ronan's Well,Sir Walter Scott
The Underdogs (novel),Mariano Azuela
The Dunwich Horror,H. P. Lovecraft
Planet of the Damned,Harry Harrison
The Return of Tarzan,Edgar Rice Burroughs
The Lady from the Sea,Henrik Ibsen
The Haunted Bookshop,Christopher Morley
Jerry of the Islands,Jack London
Hedda Gabler,Henrik Ibsen
Linda Condon,Joseph Hergesheimer
"Pierre; or, The Ambiguities",Herman Melville
The Three Clerks,Anthony Trollope
"Hans Brinker, or The Silver Skates",Mary Mapes Dodge
Thérèse Raquin,Emile Zola
Black Man's Burden,Dallas McCord Reynolds
The Hairy Ape,Eugene O'Neill
Green Mansions,W. H. Hudson
As You Like It,William Shakespeare
L'Assommoir,Emile Zola
Martin Chuzzlewit,Charles Dickens
Lightnin' (play),Frank Bacon
Diary of a Madman (short story),Nicholas Gogol
Robur the Conqueror,Jules Verne
Androcles and the Lion (play),George Bernard Shaw
Man and Wife (novel),Wilkie Collins
Kipps,H. G. Wells
The Bacchae,Euripedes
Rupert of Hentzau,Anthony Hope
Rosmersholm,Henrik Ibsen
The Son of Tarzan,Edgar Rice Burroughs
Incidents in the Life of a Slave Girl,Harriet Jacobs (AKA Linda Brent)
The Woman in White (novel),Wilkie Collins
The Robbers,Frederich Schiller
Great Expectations,Charles Dickens
The Great Nebraska Sea,Allan Danzig
Little Dorrit,Charles Dickens
Main Street (novel),Sinclair Lewis
The Duchess of Padua,Oscar Wilde
The Keepsake Stories,Sir Walter Scott
Ann Veronica,H. G. Wells
Coningsby (novel),Benjamin Disraeli
Jo's Boys,Louisa May Alcott
Paradise Lost,John Milton
The Government Inspector,Nicolay Gogol
The Dark Lady of the Sonnets,George Bernard Shaw
Red Nails,Robert E. Howard
The Mysterious Island,Jules Verne
Wolfbane (novel),Frederik Pohl
Off on a Comet,Jules Verne
The Land That Time Forgot (novel),Edgar Rice Burroughs
Women in Love,D. H. Lawrence
Doctor Pascal,Emile Zola
The Last Days of Pompeii,Edward George Bulwer-Lytton
Chitra (play),Rabindranath Tagore
Aunt Jane's Nieces and Uncle John,Edith Van Dyne
Friðþjófs saga hins frœkna,Esaias Tegner
The Shuttle (novel),Frances Hodgson Burnett
The Secret Garden,Frances Hodgson Burnett
Life Is a Dream,Pedro Calderon de la Barca
Sargasso of Space,Edmond Hamilton
The Chimes,Charles Dickens
Lady Anna (novel),Anthony Trollope
The Tragic Muse,Henry James
The Vicar of Wakefield,Oliver Goldsmith
The Just and the Unjust,Vaughan Kester
Virginia (novel),Ellen Glasgow
The Poison Belt,Arthur Conan Doyle
Anne's House of Dreams,Lucy Maud Montgomery
"Futility, or the Wreck of the Titan",Morgan Robertson
Jewels of Gwahlur,Robert E. Howard
La Princesse de Clèves,Madame de Lafayette
The Willows (story),Algernon Blackwood
The Belton Estate,Anthony Trollope
Michael Strogoff,Jules Verne
Walam Olum,C. S. Rafinesque
The Invisible Man,H. G. Wells
The Moon and Sixpence,W. Somerset Maugham
The Riddle of the Sands,Erskine Childers
Dorothy Vernon of Haddon Hall,Charles Major
The Sport of the Gods,Paul Laurence Dunbar
Ralph the Heir,Anthony Trollope
Policeman Bluejay,L. Frank Baum
The Card,Arnold Bennett
The Gift of the Magi,O. Henry
At the Villa Rose (novel),A. E. W. Mason
Comus (John Milton),John Milton
Lord Jim,Joseph Conrad
The Son of the Sun,Jack London
Mṛcchakatika,(Attributed To) King Shudraka
The Blithedale Romance,Nathaniel Hawthorne
The People of the Black Circle,Robert E. Howard
The Private Memoirs and Confessions of a Justified Sinner,James Hogg
The Maid of Orleans (play),Frederich Schiller
Richard Carvel,Winston Churchill
The Night Land,William Hope Hodgson
Dorothy of Oz (book),Evelyn Raymond
The Boxcar Children,Gertrude Chandler Warner
The Adventures of Peregrine Pickle,Tobias Smollett
She: A History of Adventure,H. Rider Haggard
"The History of Tom Jones, a Foundling",Henry Fielding
Phineas Redux,Anthony Trollope
Misalliance,George Bernard Shaw
The Rainbow,D. H. (David Herbert) Lawrence
Loss and Gain,John Henry Newman
One Shot (novel),James Benjamin Blish
He Knew He Was Right,Anthony Trollope
Men of Iron,Howard Pyle
No Name (novel),Wilkie Collins
The White Company,Arthur Conan Doyle
The Promise of World Peace,Universal House of Justice
The Phantom of the Opera,Gaston Leroux
The Claverings,Anthony Trollope
The Story of Doctor Dolittle,Hugh Lofting
Pariah (play),August Strindberg
A Shropshire Lad,A. E. Housman
Born in Exile,George Gissing
Miss Mackenzie,Anthony Trollope
Tik-Tok of Oz,L. Frank (Lyman Frank) Baum
The Frogs,Aristophanes
The Peach Blossom Spring,Tao Yuan Ming
The Red Mill,Hermann Sudermann
The Inside of the Cup,Winston Churchill
Just David,Eleanor H. Porter
Democracy: An American Novel,Henry Adams
The Lost Princess of Oz,L. Frank Baum
The Wonderful Adventures of Nils,Selma Lagerloef
The Contrast (play),Royall Tyler
The Rose and the Ring,William Makepeace Thackeray
Second Variety,Philip Kindred Dick
Demetrius (play),Frederich Schiller
Skylark Three,Edward Elmer Smith
Sandy (novel),Alice Hegan Rice
Goldilocks and the Three Bears,Anonymous
Illusions perdues,Honore De Balzac
Arsène Lupin vs. Herlock Sholmes,Maurice LeBlanc
The Cloister and the Hearth,Charles Reade
The Fifth Queen,Ford Madox Ford
Five Children and It,E. Nesbit
The Trojan Women,Euripides
Testimony of the Evangelists,"Simon Greenleaf, LL.D."
Orley Farm (novel),Anthony Trollope
Amadís de Gaula,Vasco Lobeira
Edward II (play),Christopher Marlowe
The Planet Savers,Marion Zimmer Bradley
Tamburlaine,Christopher Marlowe
Anne of Green Gables,Lucy Maud Montgomery
The Outlaw (play),August Strindberg
The Formation of Vegetable Mould through the Action of Worms,Charles Darwin
Seven Keys to Baldpate (play),Earl Derr Biggers
Maggie: A Girl of the Streets,Stephen Crane
Le Curé de Tours,Honore de Balzac
Eve's Ransom,George Gissing
The Wonderful Visit,Herbert George Wells
Tom Swift and His Big Tunnel,Victor Appleton
The Open Boat,Stephen Crane
Manalive,G. K. Chesterton
Bel Ami,Henri Rene Guy de Maupassant
The Ambassadors,Henry James
The Hunting of the Snark,Lewis Carroll
Ivanov (play),Anton Checkov
The Yellow Chief: A Romance of the Rocky Mountains,Mayne Reid
The Man-eaters of Tsavo,J. H. Patterson
The Game of Love and Chance,Pierre Carlet de Chamblain de Marivaux
Mr Midshipman Easy,Captain Frederick Marryat
All for Love (play),John Dryden
A Narrative of the Captivity and Restoration of Mrs. Mary Rowlandson,Mrs. Mary Rowlandson
The Tent Dwellers,Albert Bigelow Paine
The Tale of Mrs. Tiggy-Winkle,Beatrix Potter
Around the Moon,Jules Verne
The Prime Minister (novel),Anthony Trollope
What Katy Did Next,Susan Coolidge
Dream of the Red Chamber,Cao Xueqin
The Tale of Genji,Various
Edison's Conquest of Mars,Garrett Putman Serviss
A. J. Raffles,E. W. Hornung
The Well at the World's End,William Morris
The Tale of Timmy Tiptoes,Beatrix Potter
The Scarecrow of Oz,L. Frank Baum
The Blue Lagoon (novel),H. de Vere Stacpoole
The Metaphysics of Morals,Immanuel Kant
The Scarlet Letter,Nathaniel Hawthorne
The Lottery Rose,Margaret Widdemer
Sylvia's Lovers,Elizabeth Cleghorn Gaskell
White Fang,Jack London
Three Men in a Boat,Jerome K. Jerome
The Red Badge of Courage,Stephen Crane
Daisy Miller,Henry James
"Right Ho, Jeeves",P. G. Wodehouse
Fairer-than-a-Fairy (Caumont de La Force),Various
Much Ado About Nothing,William Shakespeare
Five Weeks in a Balloon,Jules Verne
Minna von Barnhelm,Gotthold Ephraim Lessing
In His Steps,Charles M. Sheldon
Nostromo,Joseph Conrad
The Bourne Identity (novel),Robert Barr
Mary Stuart (play),Frederich Schiller
La Maison du chat-qui-pelote,Honore de Balzac
The Year When Stardust Fell,Raymond F. Jones
Elusive Isabel,Jacques Futrelle
Love for Love,William Congreve
Middlemarch,George Eliot
The Tale of Peter Rabbit,Beatrix Potter
The Different Forms of Flowers on Plants of the Same Species,Charles Darwin
Up the Down Staircase,Edward Frederic Benson
A Bride of the Plains,Baroness Emmuska Orczy
Penguin Island (novel),Anatole France
Toilers of the Sea,Victor Hugo
A Hero of Our Time,M. Y. Lermontov
Valley of Dreams,Stanley Grauman Weinbaum
Address: Centauri,F. L. Wallace
Nightfall (Asimov short story and novel),Anthony Pryde
The Grand Babylon Hotel,Arnold Bennett
Lorna Doone,R. D. Blackmore
Captain Singleton,Daniel Defoe
Perlycross,R. D. Blackmore
Centurion (novel),David James Burrell
Kim (novel),Rudyard Kipling
The Custom of the Country,Edith Wharton
The Country of the Pointed Firs,Sarah Orne Jewett
Fugitive Pieces,Nathaniel Parker Willis
The Hound of the Baskervilles,A. Conan Doyle
Captain Blood (novel),Rafael Sabatini
Eldorado (novel),Baroness Orczy
The Mad King,Edgar Rice Burroughs
Monsieur Beaucaire (novel),Booth Tarkington
Peter and Wendy,James Matthew Barrie
The Moon Pool,A. Merritt
The Mill on the Floss,George Eliot
The Magic of Oz,L. Frank Baum
Israel Potter,Herman Melville
The Iron Heel,Jack London
The Warden,Anthony Trollope
The Velveteen Rabbit,Margery Williams
The Bronze Eagle,"Emmuska Orczy, Baroness Orczy"
The Death of the Lion,Henry James
Key Out of Time,Andre Alice Norton
The Wife of Sir Isaac Harman,H. G. (Herbert George) Wells
The Coquette,Hannah Webster Foster
David Copperfield,Charles Dickens
"Bartleby, the Scrivener",Herman Melville
La Dame aux Camélias,"Alexandre Dumas, fils"
The Game of Rat and Dragon,Cordwainer Smith
The Ebb-Tide,Robert Louis Stevenson and Lloyde Osbourne
The Secret Battle,A. P. Herbert
The Autobiography of a Super-Tramp,William H. Davies
Shadows in the Moonlight (story),Robert E. Howard
The Shunned House,Howard Phillips Lovecraft
Far from the Madding Crowd,Thomas Hardy
The Dead Secret,Wilkie Collins
The Soul of a Bishop,H. G. Wells
Charlotte Temple,Susanna Rowson
Medea (play),Euripides
I Will Repay (novel),Baroness Emmuska Orczy
The Crab and the Monkey,Anonymous
The Doings of Raffles Haw,Arthur Conan Doyle
How He Lied to Her Husband,George Bernard Shaw
